Product Name, URL, Price
"Roadster Men Maroon & Navy Blue Regular Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Maroon--Navy-Blue-Regular-Fit-Checked-Casual-Shirt/2257848/buy,1049
"BOSS Orange Men Blue Erodeo Slim Fit Washed Denim Shirt",https://www.myntra.com/Shirts/BOSS-Orange/BOSS-Orange-Men-Blue-Erodeo-Slim-Fit-Washed-Denim-Shirt/2195524/buy,18500
"Harvard Men Red & White Slim Fit Striped Casual Shirt",https://www.myntra.com/Shirts/Harvard/Harvard-Men-Red--White-Slim-Fit-Striped-Casual-Shirt/2358006/buy,1329
"WROGN Men Navy Blue & Red Slim Fit Checked Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Men-Navy-Blue--Red-Slim-Fit-Checked-Casual-Shirt/2001861/buy,1319
"Roadster Men Blue & White Slim Fit Printed Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Blue--White-Slim-Fit-Printed-Casual-Shirt/2147888/buy,749
"WROGN Men Navy Slim Fit Printed Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Men-Navy-Slim-Fit-Printed-Casual-Shirt/2338556/buy,2099
"Roadster Men Black & Charcoal Regular Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Black--Charcoal-Regular-Fit-Checked-Casual-Shirt/2038033/buy,909
"Roadster Men Navy Regular Fit Striped Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Navy-Regular-Fit-Striped-Casual-Shirt/1714088/buy,1049
"Roadster Men Green Regular Fit Solid Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Casual-Shirt/2289177/buy,779
"WROGN Men Black Slim Fit Checked Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt/1536592/buy,1399
"Roadster Men Maroon & Navy Blue Regular Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Maroon--Navy-Blue-Regular-Fit-Checked-Casual-Shirt/1862801/buy,1299
"ether Men White Regular Fit Printed Casual Shirt",https://www.myntra.com/Shirts/ether/ether-Men-White-Regular-Fit-Printed-Casual-Shirt/1997716/buy,559
"Highlander White Solid Slim Fit Casual Shirt",https://www.myntra.com/Shirts/HIGHLANDER/Highlander-White-Solid-Slim-Fit-Casual-Shirt/1265384/buy,549
"Harvard Men Navy Blue & Green Slim Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Harvard/Harvard-Men-Navy-Blue--Green-Slim-Fit-Checked-Casual-Shirt/2358004/buy,1139
"Highlander Blue Slim Fit Denim Shirt",https://www.myntra.com/Shirts/HIGHLANDER/Highlander-Blue-Slim-Fit-Denim-Shirt/1272487/buy,649
"ESPRIT Men White Solid Casual Shirt",https://www.myntra.com/Shirts/ESPRIT/ESPRIT-Men-White-Solid-Casual-Shirt/2029912/buy,1439
"Mast & Harbour Men Red Regular Fit Solid Casual Shirt",https://www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Red-Regular-Fit-Solid-Casual-Shirt/1352802/buy,1199
"HERE&NOW Men Blue & Black Regular Fit Printed Casual Shirt",https://www.myntra.com/Shirts/HERENOW/HERENOW-Men-Blue--Black-Regular-Fit-Printed-Casual-Shirt/2456295/buy,799
"Roadster Men Black Regular Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Black-Regular-Fit-Checked-Casual-Shirt/1376575/buy,1299
"WROGN Men Brown & Navy Relaxed & Smart Fit Checked Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Men-Brown--Navy-Relaxed--Smart-Fit-Checked-Casual-Shirt/2001884/buy,1469
"ether BLACK ANTI MICROBIAL COTTON LINEN SHIRT",https://www.myntra.com/Shirts/ether/ether-BLACK-ANTI-MICROBIAL-COTTON-LINEN-SHIRT/1027238/buy,909
